bucket,count,defaults,default_rate,proportion
A (0-0.05),493,2,0.004056795131845842,0.008015869144594573
B (0.05-0.10),2796,27,0.009656652360515022,0.04546119701477977
C (0.10-0.18),7945,130,0.016362492133417242,0.12918069037282734
D (0.18-0.30),13350,384,0.028764044943820226,0.2170625823130579
E (0.30-0.50),17822,1065,0.059757602962630454,0.28977448254556687
F (0.50+),19097,3357,0.17578677279153793,0.31050517860917354
