feature,mean_abs_shap
TOTALAREA_MODE_NA,0.00041151290443991326
FLAG_DOCUMENT_6,0.0003770012383989968
WALLSMATERIAL_MODE_NA,0.0003469218578381204
OCCUPATION_TYPE_NA,0.0003387152647702777
CNT_CHILDREN,0.00032393661702747055
LIVINGAPARTMENTS_MEDI_NA,0.00030302770903353825
ELEVATORS_AVG_NA,0.00025628174538024317
LIVE_CITY_NOT_WORK_CITY,0.0002480215505113549
NONLIVINGAPARTMENTS_AVG_NA,0.00024553628362143176
BASEMENTAREA_MODE_NA,0.00018578606241869994
NONLIVINGAPARTMENTS_MODE_NA,0.0001701660440919657
COMMONAREA_AVG_NA,0.0001611567247866839
LIVINGAREA_MEDI_NA,0.0001311249856071338
REG_REGION_NOT_WORK_REGION,0.00012970095643176035
EMERGENCYSTATE_MODE,0.00011952745100905268
FLAG_DOCUMENT_5,0.00011474398502411776
OCCUPATION_TYPE_FREQ_NA,0.0001142071797268776
AMT_REQ_CREDIT_BUREAU_HOUR,9.70807316889004e-05
LANDAREA_AVG_NA,8.521514029810646e-05
LIVINGAREA_MODE_NA,6.18885556082191e-05
FLAG_EMAIL,5.792020778982749e-05
BASEMENTAREA_MEDI_NA,4.267545161136917e-05
HOUSETYPE_MODE,1.1615570751450064e-05
FLOORSMAX_MODE_NA,0.0
AMT_REQ_CREDIT_BUREAU_MON_NA,0.0
YEARS_BEGINEXPLUATATION_MODE_NA,0.0
AMT_REQ_CREDIT_BUREAU_WEEK_NA,0.0
APARTMENTS_AVG_NA,0.0
AMT_REQ_CREDIT_BUREAU_QRT_NA,0.0
AMT_REQ_CREDIT_BUREAU_YEAR_NA,0.0
EMP_LENGTH_YEARS_NA,0.0
COMMONAREA_MODE_NA,0.0
EMP_LEN_RATIO_NA,0.0
YEARS_BUILD_MODE_NA,0.0
NONLIVINGAREA_MEDI_NA,0.0
HOUSETYPE_MODE_NA,0.0
CODE_GENDER_XNA,0.0
LANDAREA_MODE_NA,0.0
LIVINGAPARTMENTS_MODE_NA,0.0
ENTRANCES_MODE_NA,0.0
DAYS_EMPLOYED_NA,0.0
YEARS_BEGINEXPLUATATION_MEDI_NA,0.0
YEARS_BUILD_MEDI_NA,0.0
COMMONAREA_MEDI_NA,0.0
ELEVATORS_MEDI_NA,0.0
FLOORSMIN_AVG_NA,0.0
FLOORSMAX_MEDI_NA,0.0
FLOORSMIN_MEDI_NA,0.0
LANDAREA_MEDI_NA,0.0
ELEVATORS_MODE_NA,0.0
NONLIVINGAPARTMENTS_MEDI_NA,0.0
FLOORSMIN_MODE_NA,0.0
ENTRANCES_MEDI_NA,0.0
